i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       He3            He3            alpha          alpha          Li6            Li6            Be8            Be8            C12            C12            C13            C13            N15            N15            O15            O15            O16            O16            

0	0	0	6.30237e-09    6.08291e-09    202            8.15553e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
1	0	0	6.68516e-09    6.2104e-09     202            8.75466e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              2.87908e-10    1              
2	0	0	6.51883e-09    6.40927e-09    202            6.85736e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
3	0	0	6.42306e-09    6.26729e-09    202            9.80106e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
4	0	0	6.46463e-09    6.28672e-09    202            7.37706e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
5	0	0	6.53381e-09    6.25281e-09    202            6.37143e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
6	0	0	6.57144e-09    6.3763e-09     202            6.29525e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
7	0	0	6.64723e-09    6.47076e-09    202            7.55944e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
8	0	0	6.66092e-09    6.48959e-09    202            7.89011e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
9	0	0	7.11218e-09    6.92451e-09    202            8.42625e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
10	0	0	6.83076e-09    6.65032e-09    202            7.20956e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
11	0	0	6.32801e-09    6.08955e-09    201            8.09947e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
