i	j	k	Dose(Gy)       proton_1       proton_1       O16            O16            

0	0	0	2.62639e-09    2.53268e-09    17             0              0              
1	0	0	2.44676e-09    2.44676e-09    17             0              0              
2	0	0	2.48812e-09    2.39621e-09    17             0              0              
3	0	0	2.53172e-09    2.53172e-09    17             0              0              
4	0	0	2.47087e-09    2.47087e-09    17             0              0              
5	0	0	2.51121e-09    2.51121e-09    17             0              0              
6	0	0	2.59483e-09    2.59483e-09    17             0              0              
7	0	0	2.45676e-09    2.45676e-09    17             0              0              
8	0	0	2.63348e-09    2.63348e-09    17             0              0              
9	0	0	2.57599e-09    2.57599e-09    17             0              0              
10	0	0	2.58635e-09    2.58635e-09    17             0              0              
11	0	0	2.52918e-09    2.52918e-09    17             0              0              
12	0	0	2.63332e-09    2.57758e-09    17             0              0              
13	0	0	2.7617e-09     2.73038e-09    17             0              0              
14	0	0	2.52337e-09    2.52337e-09    17             0              0              
15	0	0	2.54263e-09    2.54263e-09    17             0              0              
16	0	0	2.70069e-09    2.70069e-09    17             0              0              
17	0	0	2.77226e-09    2.77226e-09    17             0              0              
18	0	0	3.02037e-09    3.02037e-09    17             0              0              
19	0	0	2.68157e-09    2.68157e-09    17             0              0              
20	0	0	2.76065e-09    2.76065e-09    17             0              0              
21	0	0	2.7878e-09     2.7878e-09     17             0              0              
22	0	0	2.8947e-09     2.8947e-09     17             0              0              
23	0	0	2.8378e-09     2.8339e-09     17             0              0              
24	0	0	3.13493e-09    3.04631e-09    17             0              0              
25	0	0	2.87783e-09    2.87783e-09    17             0              0              
26	0	0	3.2732e-09     3.18366e-09    17             0              0              
27	0	0	3.26992e-09    3.26992e-09    17             0              0              
28	0	0	3.3721e-09     3.3721e-09     17             0              0              
29	0	0	3.65356e-09    3.65356e-09    17             0              0              
30	0	0	4.18201e-09    4.18201e-09    17             0              0              
31	0	0	2.30604e-09    2.30604e-09    16             0              0              
32	0	0	2.24113e-09    2.24113e-09    16             0              0              
33	0	0	2.3505e-09     2.3505e-09     16             0              0              
34	0	0	2.34925e-09    2.34925e-09    16             0              0              
35	0	0	2.52257e-09    2.52257e-09    16             0              0              
36	0	0	2.42529e-09    2.42529e-09    16             0              0              
37	0	0	2.52497e-09    2.52497e-09    16             0              0              
