i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         N15            N15            O15            O15            O16            O16            

0	0	0	2.534e-09      2.534e-09      21             0              0              0              0              0              0              0              0              
1	0	0	2.40534e-09    2.31252e-09    21             0              0              0              0              0              0              0              0              
2	0	0	2.60007e-09    2.59424e-09    21             0              0              0              0              0              0              0              0              
3	0	0	2.52963e-09    2.38343e-09    21             0              0              0              0              0              0              0              0              
4	0	0	2.76406e-09    2.71242e-09    21             0              0              0              0              0              0              0              0              
5	0	0	2.39609e-09    2.39609e-09    21             0              0              0              0              0              0              0              0              
6	0	0	2.56482e-09    2.56482e-09    21             0              0              0              0              0              0              0              0              
7	0	0	2.57336e-09    2.57336e-09    21             0              0              0              0              0              0              0              0              
8	0	0	2.54682e-09    2.54682e-09    21             0              0              0              0              0              0              0              0              
9	0	0	2.54325e-09    2.54325e-09    21             0              0              0              0              0              0              0              0              
10	0	0	2.44728e-09    2.43068e-09    21             0              0              0              0              0              0              0              0              
11	0	0	2.70274e-09    2.62789e-09    21             0              0              0              0              0              0              0              0              
12	0	0	2.78621e-09    2.78621e-09    21             0              0              0              0              0              0              0              0              
13	0	0	2.4484e-09     2.4484e-09     21             0              0              0              0              0              0              0              0              
14	0	0	2.73776e-09    2.73776e-09    21             0              0              0              0              0              0              0              0              
15	0	0	2.52983e-09    2.52983e-09    21             0              0              0              0              0              0              0              0              
16	0	0	2.78282e-09    2.78282e-09    21             0              0              0              0              0              0              0              0              
17	0	0	2.45904e-09    2.45181e-09    21             0              0              0              0              0              0              0              0              
18	0	0	3.01328e-09    2.83774e-09    21             0              0              0              0              0              0              0              0              
19	0	0	2.5822e-09     2.49253e-09    21             0              0              0              0              0              0              0              0              
20	0	0	2.43807e-09    2.43807e-09    21             0              0              0              0              0              0              0              0              
21	0	0	2.71887e-09    2.62964e-09    21             0              0              0              0              0              0              0              0              
22	0	0	2.69051e-09    2.68402e-09    21             0              0              0              0              0              0              0              0              
23	0	0	2.60638e-09    2.43733e-09    21             0              0              0              0              0              0              0              0              
24	0	0	2.79822e-09    2.55574e-09    21             0              0              0              0              0              0              0              0              
25	0	0	2.99105e-09    2.89303e-09    21             0              0              0              0              0              0              0              0              
26	0	0	2.66406e-09    2.66406e-09    21             0              0              0              0              0              0              0              0              
27	0	0	2.70814e-09    2.70814e-09    21             0              0              0              0              0              0              0              0              
28	0	0	2.6105e-09     2.57969e-09    21             0              0              0              0              0              0              0              0              
29	0	0	2.79633e-09    2.66903e-09    21             0              0              0              0              0              0              0              0              
30	0	0	2.54056e-09    2.50674e-09    21             0              0              0              0              0              0              0              0              
31	0	0	2.59279e-09    2.59279e-09    21             0              0              0              0              0              0              0              0              
32	0	0	2.69478e-09    2.69478e-09    21             0              0              0              0              0              0              0              0              
33	0	0	2.65835e-09    2.57217e-09    21             0              0              0              0              0              0              0              0              
34	0	0	2.72691e-09    2.72691e-09    21             0              0              0              0              0              0              0              0              
35	0	0	2.68324e-09    2.65208e-09    21             0              0              0              0              0              0              0              0              
36	0	0	2.80881e-09    2.64017e-09    21             0              0              0              0              0              0              0              0              
37	0	0	2.61889e-09    2.57828e-09    21             0              0              0              0              0              0              0              0              
