i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            

0	0	0	7.37483e-10    7.34877e-10    25             0              0              0              0              
1	0	0	6.86459e-10    6.86459e-10    25             0              0              0              0              
2	0	0	7.08543e-10    6.96429e-10    25             0              0              0              0              
3	0	0	7.21382e-10    6.78093e-10    25             0              0              0              0              
4	0	0	7.68811e-10    7.58159e-10    25             0              0              0              0              
5	0	0	7.20093e-10    7.01848e-10    25             0              0              0              0              
6	0	0	7.12208e-10    7.12208e-10    25             0              0              0              0              
7	0	0	7.80782e-10    7.58794e-10    25             0              0              0              0              
8	0	0	7.46655e-10    7.17815e-10    25             0              0              0              0              
9	0	0	7.03961e-10    7.01021e-10    25             0              0              0              0              
10	0	0	8.06772e-10    7.6407e-10     25             0              0              0              0              
11	0	0	7.50391e-10    7.50391e-10    25             0              0              0              0              
12	0	0	7.59923e-10    7.54466e-10    25             0              0              0              0              
13	0	0	7.65903e-10    7.48136e-10    25             0              0              0              0              
14	0	0	7.54887e-10    7.31382e-10    25             0              0              0              0              
15	0	0	7.85407e-10    7.53252e-10    25             0              0              0              0              
16	0	0	8.1981e-10     7.80159e-10    25             0              0              0              0              
17	0	0	7.54156e-10    7.4707e-10     25             0              0              0              0              
18	0	0	7.32294e-10    7.13655e-10    25             0              0              0              0              
19	0	0	8.23824e-10    8.01086e-10    25             0              0              0              0              
20	0	0	8.52619e-10    8.49348e-10    25             0              0              0              0              
21	0	0	7.88203e-10    7.63025e-10    25             0              0              0              0              
22	0	0	7.89581e-10    7.65131e-10    25             0              0              0              0              
23	0	0	7.27808e-10    7.27808e-10    25             0              0              0              0              
24	0	0	7.54712e-10    7.53221e-10    25             0              0              0              0              
25	0	0	8.04697e-10    7.81085e-10    25             0              0              0              0              
26	0	0	7.27507e-10    7.27507e-10    25             0              0              0              0              
27	0	0	8.06257e-10    8.06257e-10    25             0              0              0              0              
28	0	0	8.1523e-10     8.1523e-10     25             0              0              0              0              
29	0	0	7.7574e-10     7.7574e-10     25             0              0              0              0              
30	0	0	7.69223e-10    7.69223e-10    25             0              0              0              0              
31	0	0	8.39853e-10    8.39853e-10    25             0              0              0              0              
32	0	0	8.17101e-10    7.94015e-10    25             0              0              0              0              
33	0	0	7.91552e-10    7.76491e-10    25             0              0              0              0              
34	0	0	7.83685e-10    7.71929e-10    25             0              0              0              0              
35	0	0	7.98558e-10    7.64276e-10    25             0              0              0              0              
36	0	0	8.13863e-10    7.97406e-10    25             0              0              0              0              
37	0	0	7.8785e-10     7.8785e-10     25             0              0              0              0              
38	0	0	7.8238e-10     7.8238e-10     25             0              0              0              0              
39	0	0	7.93663e-10    7.93663e-10    25             0              0              0              0              
40	0	0	8.163e-10      8.163e-10      25             0              0              0              0              
41	0	0	8.32332e-10    8.09529e-10    25             0              0              0              0              
42	0	0	7.89923e-10    7.89923e-10    25             0              0              0              0              
43	0	0	8.45721e-10    8.37478e-10    25             0              0              0              0              
44	0	0	8.55137e-10    8.35181e-10    25             0              0              0              0              
45	0	0	7.98316e-10    7.94721e-10    25             0              0              0              0              
46	0	0	8.47626e-10    8.24072e-10    25             0              0              0              0              
47	0	0	8.32447e-10    8.32447e-10    25             0              0              0              0              
