i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            

0	0	0	8.06441e-09    7.73328e-09    32             0              0              0              0              
1	0	0	6.11813e-09    5.9673e-09     30             0              0              0              0              
2	0	0	5.54719e-09    5.54719e-09    30             0              0              0              0              
3	0	0	2.56582e-09    2.56582e-09    28             0              0              0              0              
4	0	0	2.91221e-09    2.77097e-09    28             0              0              0              0              
5	0	0	2.85976e-09    2.85976e-09    28             0              0              0              0              
6	0	0	2.69845e-09    2.69398e-09    28             0              0              0              0              
7	0	0	2.97809e-09    2.71653e-09    28             0              0              0              0              
8	0	0	3.0501e-09     2.78486e-09    28             0              0              0              0              
9	0	0	2.93987e-09    2.86175e-09    28             0              0              0              0              
10	0	0	2.88862e-09    2.7557e-09     28             0              0              0              0              
11	0	0	2.88645e-09    2.79355e-09    28             0              0              0              0              
12	0	0	2.66495e-09    2.56789e-09    28             0              0              0              0              
13	0	0	2.9308e-09     2.83439e-09    28             0              0              0              0              
14	0	0	2.85705e-09    2.79416e-09    28             0              0              0              0              
15	0	0	2.67376e-09    2.61124e-09    28             0              0              0              0              
16	0	0	3.02395e-09    2.98186e-09    28             0              0              0              0              
17	0	0	2.69263e-09    2.67686e-09    28             0              0              0              0              
18	0	0	3.1902e-09     3.00258e-09    28             0              0              0              0              
19	0	0	2.87813e-09    2.85634e-09    28             0              0              0              0              
20	0	0	2.83307e-09    2.76068e-09    28             0              0              0              0              
21	0	0	2.80579e-09    2.80579e-09    28             0              0              0              0              
22	0	0	2.6954e-09     2.6893e-09     28             0              0              0              0              
23	0	0	3.03213e-09    2.91057e-09    28             0              0              0              0              
24	0	0	3.0545e-09     2.77712e-09    28             0              0              0              0              
25	0	0	3.14204e-09    2.7634e-09     28             0              0              0              0              
26	0	0	2.97028e-09    2.69363e-09    28             0              0              0              0              
27	0	0	2.82135e-09    2.7309e-09     28             0              0              0              0              
28	0	0	2.92267e-09    2.77478e-09    28             0              0              0              0              
29	0	0	3.24427e-09    3.02857e-09    28             0              0              0              0              
30	0	0	2.82545e-09    2.63358e-09    28             0              0              0              0              
31	0	0	3.10056e-09    3.08328e-09    28             0              0              0              0              
32	0	0	2.92021e-09    2.83825e-09    28             0              0              0              0              
33	0	0	2.87527e-09    2.83773e-09    28             0              0              0              0              
34	0	0	2.96776e-09    2.86916e-09    28             0              0              0              0              
35	0	0	2.91179e-09    2.91179e-09    28             0              0              0              0              
36	0	0	2.74699e-09    2.74699e-09    28             0              0              0              0              
37	0	0	2.74997e-09    2.74997e-09    28             0              0              0              0              
38	0	0	2.76904e-09    2.76904e-09    28             0              0              0              0              
39	0	0	2.72593e-09    2.72593e-09    28             0              0              0              0              
40	0	0	3.01118e-09    2.96547e-09    28             0              0              0              0              
41	0	0	2.72453e-09    2.67913e-09    28             0              0              0              0              
42	0	0	3.02386e-09    2.93404e-09    28             0              0              0              0              
43	0	0	3.37743e-09    3.12846e-09    28             0              0              0              0              
44	0	0	3.06467e-09    3.05373e-09    28             0              0              0              0              
45	0	0	3.11489e-09    2.94339e-09    28             0              0              0              0              
46	0	0	2.88497e-09    2.88497e-09    28             0              0              0              0              
47	0	0	2.92732e-09    2.92732e-09    28             0              0              0              0              
48	0	0	2.89711e-09    2.89711e-09    28             0              0              0              0              
