i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       alpha          alpha          Li7            Li7            Be7            Be7            Be8            Be8            O16            O16            

0	0	0	2.37315e-08    2.30013e-08    174            1.4492e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
1	0	0	2.4468e-08     2.4113e-08     174            1.20004e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
2	0	0	2.42869e-08    2.36917e-08    174            1.65402e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
3	0	0	2.2703e-08     2.21606e-08    173            1.71059e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
4	0	0	2.19633e-08    2.14274e-08    173            1.51498e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
5	0	0	2.4033e-08     2.3068e-08     173            2.71382e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
6	0	0	2.29702e-08    2.25827e-08    173            1.55459e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
7	0	0	2.3514e-08     2.30327e-08    173            1.90186e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
8	0	0	2.30118e-08    2.22434e-08    172            1.53993e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
9	0	0	2.22397e-08    2.17977e-08    171            1.49409e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
10	0	0	2.23048e-08    2.1658e-08     170            1.64581e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
11	0	0	2.24615e-08    2.18702e-08    170            2.11669e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
12	0	0	2.2385e-08     2.17589e-08    170            1.55227e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
13	0	0	2.2252e-08     2.17032e-08    170            1.62795e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
14	0	0	2.30642e-08    2.23242e-08    170            1.70778e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
15	0	0	2.18105e-08    2.14531e-08    170            1.3814e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
16	0	0	2.23873e-08    2.21352e-08    170            1.30587e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
17	0	0	2.28657e-08    2.23574e-08    170            1.61805e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
18	0	0	2.21491e-08    2.19164e-08    170            1.52681e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
19	0	0	2.3129e-08     2.27585e-08    170            2.79679e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
20	0	0	2.3344e-08     2.27722e-08    170            1.67751e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
21	0	0	2.35626e-08    2.22176e-08    170            1.80705e-10    1              0              0              0              0              0              0              0              0              0              0              4.65656e-10    1              
22	0	0	2.29253e-08    2.22872e-08    170            1.69395e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
23	0	0	2.36389e-08    2.2863e-08     170            1.74032e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
24	0	0	2.37166e-08    2.315e-08      170            1.65852e-10    1              0              0              0              0              0              0              0              0              0              0              2.47462e-10    1              
25	0	0	2.35154e-08    2.28729e-08    170            2.5619e-10     1              0              0              0              0              0              0              0              0              0              0              1.63742e-10    1              
26	0	0	2.30708e-08    2.26379e-08    170            1.63491e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
27	0	0	2.37386e-08    2.3091e-08     170            1.48315e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
28	0	0	2.32671e-08    2.30205e-08    170            1.41398e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
29	0	0	2.37505e-08    2.32935e-08    170            1.96516e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
30	0	0	2.34137e-08    2.29065e-08    170            2.30807e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
31	0	0	2.35943e-08    2.33158e-08    170            1.57257e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
32	0	0	2.41064e-08    2.36358e-08    170            1.54774e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
33	0	0	2.52857e-08    2.46071e-08    170            1.73383e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
34	0	0	2.39887e-08    2.36118e-08    170            1.88557e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
35	0	0	3.25765e-08    2.44154e-08    170            1.91097e-10    1              9.22923e-10    1              4.34284e-09    2              5.69091e-14    1              2.39345e-09    1              2.21498e-13    1              0              0              
36	0	0	2.57136e-08    2.53218e-08    169            1.58906e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
37	0	0	2.36529e-08    2.35105e-08    168            1.42441e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
38	0	0	2.34612e-08    2.31192e-08    168            1.56791e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
39	0	0	2.3888e-08     2.3666e-08     168            2.09055e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
40	0	0	2.56396e-08    2.51521e-08    168            1.73809e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
41	0	0	2.30462e-08    2.25796e-08    168            2.24421e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
42	0	0	2.36391e-08    2.28446e-08    167            1.80311e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
43	0	0	2.37117e-08    2.30818e-08    167            2.57183e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
44	0	0	2.32962e-08    2.28712e-08    167            1.54625e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
45	0	0	2.4005e-08     2.36375e-08    167            2.5147e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
46	0	0	2.36121e-08    2.3117e-08     167            1.72852e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
47	0	0	2.34998e-08    2.32344e-08    167            1.7854e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
48	0	0	2.39035e-08    2.36998e-08    167            1.70113e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
49	0	0	2.52162e-08    2.47383e-08    167            1.83763e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
50	0	0	2.45839e-08    2.41463e-08    167            1.79977e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
51	0	0	2.45896e-08    2.41561e-08    167            2.00873e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
52	0	0	2.4449e-08     2.40812e-08    167            1.85787e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
53	0	0	2.48148e-08    2.45079e-08    167            1.79418e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
54	0	0	2.51559e-08    2.48333e-08    167            2.27051e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
55	0	0	2.55503e-08    2.51414e-08    167            1.80946e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
56	0	0	2.53532e-08    2.49045e-08    167            1.86254e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
57	0	0	2.5434e-08     2.5093e-08     167            1.84964e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
58	0	0	2.60737e-08    2.51682e-08    167            2.49395e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
59	0	0	2.51808e-08    2.46662e-08    166            2.88285e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
60	0	0	2.51507e-08    2.48896e-08    166            2.18643e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
61	0	0	2.56937e-08    2.54325e-08    166            1.9185e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
62	0	0	2.54587e-08    2.50168e-08    166            2.66766e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
63	0	0	2.54057e-08    2.51807e-08    166            2.03739e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
64	0	0	2.62759e-08    2.59602e-08    166            2.4954e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
65	0	0	2.71545e-08    2.67862e-08    166            3.58929e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
66	0	0	2.63783e-08    2.5811e-08     165            3.96541e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
67	0	0	2.63048e-08    2.58218e-08    164            3.85696e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
68	0	0	2.57668e-08    2.5273e-08     164            4.54008e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
69	0	0	2.65601e-08    2.58947e-08    164            3.58589e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
70	0	0	2.68486e-08    2.6261e-08     164            4.22181e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
71	0	0	2.71746e-08    2.65774e-08    164            3.40547e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
72	0	0	2.73229e-08    2.69085e-08    164            3.65248e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
73	0	0	2.83995e-08    2.79714e-08    163            3.85805e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
74	0	0	2.73312e-08    2.68319e-08    162            3.45568e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
